table_name,column_name,data_type,is_nullable
t006a,mandt,STRING,YES
t006a,spras,STRING,YES
t006a,msehi,STRING,YES
t006a,mseh3,STRING,YES
t006a,mseh6,STRING,YES
t006a,mseht,STRING,YES
t006a,msehl,STRING,YES
t006a,operation_flag,STRING,YES
t006a,is_deleted,BOOL,YES
t006a,recordstamp,TIMESTAMP,YES
finsc_ledger_rep,mandt,STRING,YES
finsc_ledger_rep,rldnr,STRING,YES
finsc_ledger_rep,rldnr_pers,STRING,YES
finsc_ledger_rep,operation_flag,STRING,YES
finsc_ledger_rep,is_deleted,BOOL,YES
finsc_ledger_rep,recordstamp,TIMESTAMP,YES
cepc,mandt,STRING,YES
cepc,prctr,STRING,YES
cepc,datbi,DATE,YES
cepc,kokrs,STRING,YES
cepc,datab,DATE,YES
cepc,ersda,DATE,YES
cepc,usnam,STRING,YES
cepc,merkmal,STRING,YES
cepc,abtei,STRING,YES
cepc,verak,STRING,YES
cepc,verak_user,STRING,YES
cepc,waers,STRING,YES
cepc,nprctr,STRING,YES
cepc,land1,STRING,YES
cepc,anred,STRING,YES
cepc,name1,STRING,YES
cepc,name2,STRING,YES
cepc,name3,STRING,YES
cepc,name4,STRING,YES
cepc,ort01,STRING,YES
cepc,ort02,STRING,YES
cepc,stras,STRING,YES
cepc,pfach,STRING,YES
cepc,pstlz,STRING,YES
cepc,pstl2,STRING,YES
cepc,spras,STRING,YES
cepc,telbx,STRING,YES
cepc,telf1,STRING,YES
cepc,telf2,STRING,YES
cepc,telfx,STRING,YES
cepc,teltx,STRING,YES
cepc,telx1,STRING,YES
cepc,datlt,STRING,YES
cepc,drnam,STRING,YES
cepc,khinr,STRING,YES
cepc,bukrs,STRING,YES
cepc,vname,STRING,YES
cepc,recid,STRING,YES
cepc,etype,STRING,YES
cepc,txjcd,STRING,YES
cepc,regio,STRING,YES
cepc,kvewe,STRING,YES
cepc,kappl,STRING,YES
cepc,kalsm,STRING,YES
cepc,logsystem,STRING,YES
cepc,lock_ind,STRING,YES
cepc,pca_template,STRING,YES
cepc,segment,STRING,YES
cepc,eew_cepc_ps_dummy,STRING,YES
cepc,operation_flag,STRING,YES
cepc,is_deleted,BOOL,YES
cepc,recordstamp,TIMESTAMP,YES
afko,mandt,STRING,YES
afko,aufnr,STRING,YES
afko,gltrp,DATE,YES
afko,gstrp,DATE,YES
afko,ftrms,DATE,YES
afko,gltrs,DATE,YES
afko,gstrs,DATE,YES
afko,gstri,DATE,YES
afko,getri,DATE,YES
afko,gltri,DATE,YES
afko,ftrmi,DATE,YES
afko,ftrmp,DATE,YES
afko,rsnum,STRING,YES
afko,gasmg,NUMERIC,YES
afko,gamng,NUMERIC,YES
afko,gmein,STRING,YES
afko,plnbez,STRING,YES
afko,plnty,STRING,YES
afko,plnnr,STRING,YES
afko,plnaw,STRING,YES
afko,plnal,STRING,YES
afko,pverw,STRING,YES
afko,plauf,DATE,YES
afko,plsvb,NUMERIC,YES
afko,plnme,STRING,YES
afko,plsvn,NUMERIC,YES
afko,pdatv,DATE,YES
afko,paenr,STRING,YES
afko,plgrp,STRING,YES
afko,lodiv,NUMERIC,YES
afko,stlty,STRING,YES
afko,stlbez,STRING,YES
afko,stlst,STRING,YES
afko,stlnr,STRING,YES
afko,sdatv,DATE,YES
afko,sbmng,NUMERIC,YES
afko,sbmeh,STRING,YES
afko,saenr,STRING,YES
afko,stlal,STRING,YES
afko,stlan,STRING,YES
afko,slsvn,NUMERIC,YES
afko,slsbs,NUMERIC,YES
afko,aufld,DATE,YES
afko,dispo,STRING,YES
afko,aufpl,STRING,YES
afko,fevor,STRING,YES
afko,fhori,STRING,YES
afko,terkz,STRING,YES
afko,redkz,STRING,YES
afko,aprio,STRING,YES
afko,ntzue,STRING,YES
afko,vorue,STRING,YES
afko,profid,STRING,YES
afko,vorgz,STRING,YES
afko,sichz,STRING,YES
afko,freiz,STRING,YES
afko,upter,STRING,YES
afko,bedid,STRING,YES
afko,pronr,STRING,YES
afko,zaehl,STRING,YES
afko,mzaehl,STRING,YES
afko,zkriz,STRING,YES
afko,prueflos,STRING,YES
afko,klvarp,STRING,YES
afko,klvari,STRING,YES
afko,rgekz,STRING,YES
afko,plart,STRING,YES
afko,flg_aob,STRING,YES
afko,flg_arbei,STRING,YES
afko,gltpp,DATE,YES
afko,gstpp,DATE,YES
afko,gltps,DATE,YES
afko,gstps,DATE,YES
afko,ftrps,DATE,YES
afko,rdkzp,STRING,YES
afko,trkzp,STRING,YES
afko,rueck,STRING,YES
afko,rmzhl,STRING,YES
afko,igmng,NUMERIC,YES
afko,ratid,STRING,YES
afko,groid,STRING,YES
afko,cuobj,STRING,YES
afko,gluzs,TIME,YES
afko,gsuzs,TIME,YES
afko,revlv,STRING,YES
afko,rshty,STRING,YES
afko,rshid,STRING,YES
afko,rsnty,STRING,YES
afko,rsnid,STRING,YES
afko,nauterm,STRING,YES
afko,naucost,STRING,YES
afko,stufe,NUMERIC,YES
afko,wegxx,NUMERIC,YES
afko,vwegx,NUMERIC,YES
afko,arsnr,STRING,YES
afko,arsps,STRING,YES
afko,maufnr,STRING,YES
afko,lknot,STRING,YES
afko,rknot,STRING,YES
afko,prodnet,STRING,YES
afko,iasmg,NUMERIC,YES
afko,abarb,STRING,YES
afko,aufnt,STRING,YES
afko,aufpt,STRING,YES
afko,aplzt,STRING,YES
afko,no_disp,STRING,YES
afko,csplit,STRING,YES
afko,aennr,STRING,YES
afko,cy_seqnr,STRING,YES
afko,breaks,STRING,YES
afko,vorgz_trm,NUMERIC,YES
afko,sichz_trm,NUMERIC,YES
afko,trmdt,DATE,YES
afko,gluzp,TIME,YES
afko,gsuzp,TIME,YES
afko,gsuzi,TIME,YES
afko,geuzi,TIME,YES
afko,glupp,TIME,YES
afko,gsupp,TIME,YES
afko,glups,TIME,YES
afko,gsups,TIME,YES
afko,chsch,STRING,YES
afko,kapt_vorgz,STRING,YES
afko,kapt_sichz,STRING,YES
afko,lead_aufnr,STRING,YES
afko,pnetstartd,DATE,YES
afko,pnetstartt,TIME,YES
afko,pnetendd,DATE,YES
afko,pnetendt,TIME,YES
afko,kbed,STRING,YES
afko,kkalkr,STRING,YES
afko,sfcpf,STRING,YES
afko,rmnga,NUMERIC,YES
afko,gsbtr,DATE,YES
afko,vfmng,NUMERIC,YES
afko,nopcost,STRING,YES
afko,netzkont,STRING,YES
afko,atrkz,STRING,YES
afko,objtype,STRING,YES
afko,ch_proc,STRING,YES
afko,kapversa,STRING,YES
afko,colordproc,STRING,YES
afko,kzerb,STRING,YES
afko,conf_key,STRING,YES
afko,st_arbid,STRING,YES
afko,vsnmr_v,STRING,YES
afko,terhw,STRING,YES
afko,splstat,STRING,YES
afko,costupd,STRING,YES
afko,max_gamng,NUMERIC,YES
afko,mes_routingid,STRING,YES
afko,adpsp,STRING,YES
afko,rmanr,STRING,YES
afko,posnr_rma,STRING,YES
afko,posnv_rma,STRING,YES
afko,cfb_maxlz,NUMERIC,YES
afko,cfb_lzeih,STRING,YES
afko,cfb_adtdays,NUMERIC,YES
afko,cfb_datofm,DATE,YES
afko,cfb_bbdpi,DATE,YES
afko,oihantyp,STRING,YES
afko,fsh_mprod_ord,STRING,YES
afko,flg_bundle,STRING,YES
afko,mill_ratio,INT64,YES
afko,bmeins,STRING,YES
afko,bmenge,NUMERIC,YES
afko,mill_oc_zuskz,STRING,YES
afko,operation_flag,STRING,YES
afko,is_deleted,BOOL,YES
afko,recordstamp,TIMESTAMP,YES
ekko,mandt,STRING,YES
ekko,ebeln,STRING,YES
ekko,bukrs,STRING,YES
ekko,bstyp,STRING,YES
ekko,bsart,STRING,YES
ekko,bsakz,STRING,YES
ekko,loekz,STRING,YES
ekko,statu,STRING,YES
ekko,aedat,DATE,YES
ekko,ernam,STRING,YES
ekko,lastchangedatetime,NUMERIC,YES
ekko,pincr,STRING,YES
ekko,lponr,STRING,YES
ekko,lifnr,STRING,YES
ekko,spras,STRING,YES
ekko,zterm,STRING,YES
ekko,zbd1t,NUMERIC,YES
